,Ngày,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,Clusters
13,2021-01-14,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,2
14,2021-01-15,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.6,1061.6,1061.6,1061.6,1061.6,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.5,1061.5,1061.5,1061.5,2
15,2021-01-16,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1061.5,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,1066.6,2
16,2021-01-17,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,984.1,988.3,988.3,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,0
17,2021-01-18,1058.0,1058.0,1058.0,1058.0,1058.0,1058.0,1058.0,1058.0,1058.0,1058.0,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1058.1,1058.0,1058.0,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,2
18,2021-01-19,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,2
19,2021-01-20,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1060.3,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,2
20,2021-01-21,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1061.5,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,1069.4,2
21,2021-01-22,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.6,1061.6,1061.6,1061.6,1061.5,1061.5,1061.5,1061.5,1061.5,1052.4,1061.5,1061.5,1061.5,1061.5,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.6,1061.5,1061.5,1061.5,2
22,2021-01-23,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1011.0,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,0
23,2021-01-24,988.3,988.3,988.3,988.3,988.3,988.3,988.3,988.3,988.3,988.3,988.3,988.3,988.3,988.4,988.4,988.3,988.3,988.3,988.3,988.3,988.3,988.3,988.3,970.3,976.7,984.0,986.5,988.3,988.3,988.3,988.3,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.3,988.3,988.3,0
24,2021-01-25,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,0
25,2021-01-26,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,988.4,0
26,2021-01-27,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.8,966.8,966.8,966.8,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.7,966.7,966.7,0
27,2021-01-28,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,963.6,0
28,2021-01-29,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,945.5,0
29,2021-01-30,918.6,918.6,918.6,918.6,918.6,918.6,918.6,918.6,918.6,918.6,918.6,918.6,918.6,918.7,918.6,918.7,918.6,918.6,918.6,914.4,914.3,912.1,914.4,916.8,916.9,918.6,918.6,918.6,918.6,918.6,918.6,918.6,918.6,918.6,918.7,918.7,918.7,918.7,918.7,918.7,918.7,918.7,918.7,918.7,918.6,918.6,918.6,918.6,0
30,2021-01-31,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.7,966.7,966.7,0
31,2021-02-01,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,0
32,2021-02-02,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,0
33,2021-02-03,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,1019.7,0
34,2021-02-04,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,0
35,2021-02-05,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.7,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,966.8,0
36,2021-02-06,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,0
37,2021-02-07,964.4,964.4,964.4,964.4,964.4,964.4,964.4,964.4,964.4,964.4,964.4,964.4,964.4,964.4,964.4,964.5,964.5,964.5,964.4,964.4,964.4,964.4,964.4,964.4,964.4,964.4,964.5,964.5,964.5,964.5,964.5,964.5,964.5,964.5,964.5,964.5,964.5,964.5,964.5,964.5,964.5,964.5,964.5,964.5,964.5,964.5,964.5,964.4,0
38,2021-02-08,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,0
39,2021-02-09,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.6,885.6,885.6,885.6,885.6,885.6,885.6,885.6,885.6,885.6,885.6,885.6,885.6,885.6,885.6,885.6,885.6,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,885.7,3
40,2021-02-10,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,990.9,0
41,2021-02-11,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,1061.5,2
